Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,014618,2020,10,23,20.1
IDCJAC0016,014618,2020,10,24,25.6
IDCJAC0016,014618,2020,10,25,27.9
IDCJAC0016,014618,2020,10,26,22.8
IDCJAC0016,014618,2020,10,27,26.5
IDCJAC0016,014618,2020,10,28,25.5
IDCJAC0016,014618,2020,10,29,28.5
IDCJAC0016,014618,2020,10,30,28.5
IDCJAC0016,014618,2020,10,31,28.0
IDCJAC0016,014618,2020,11,01,28.7
IDCJAC0016,014618,2020,11,02,28.7
IDCJAC0016,014618,2020,11,03,28.5
IDCJAC0016,014618,2020,11,04,27.8
IDCJAC0016,014618,2020,11,05,27.2
IDCJAC0016,014618,2020,11,06,28.2
IDCJAC0016,014618,2020,11,07,20.9
IDCJAC0016,014618,2020,11,08,28.9
IDCJAC0016,014618,2020,11,09,25.6
IDCJAC0016,014618,2020,11,10,28.2
IDCJAC0016,014618,2020,11,11,26.8
IDCJAC0016,014618,2020,11,12,25.6
IDCJAC0016,014618,2020,11,13,26.8
IDCJAC0016,014618,2020,11,14,27.6
IDCJAC0016,014618,2020,11,15,26.0
IDCJAC0016,014618,2020,11,16,27.3
IDCJAC0016,014618,2020,11,17,14.1
IDCJAC0016,014618,2020,11,18,25.4
IDCJAC0016,014618,2020,11,19,26.5
IDCJAC0016,014618,2020,11,20,24.4
IDCJAC0016,014618,2020,11,21,24.4
IDCJAC0016,014618,2020,11,22,27.3
IDCJAC0016,014618,2020,11,23,26.8
IDCJAC0016,014618,2020,11,24,26.2
IDCJAC0016,014618,2020,11,25,26.2
IDCJAC0016,014618,2020,11,26,28.3
IDCJAC0016,014618,2020,11,27,25.9
IDCJAC0016,014618,2020,11,28,24.0
IDCJAC0016,014618,2020,11,29,26.5
IDCJAC0016,014618,2020,11,30,27.6
IDCJAC0016,014618,2020,12,01,26.8
IDCJAC0016,014618,2020,12,02,21.4
IDCJAC0016,014618,2020,12,03,25.1
IDCJAC0016,014618,2020,12,04,26.7
IDCJAC0016,014618,2020,12,05,28.3
IDCJAC0016,014618,2020,12,06,26.2
IDCJAC0016,014618,2020,12,07,28.1
IDCJAC0016,014618,2020,12,08,26.1
IDCJAC0016,014618,2020,12,09,22.9
IDCJAC0016,014618,2020,12,10,27.0
IDCJAC0016,014618,2020,12,11,26.7
IDCJAC0016,014618,2020,12,12,18.6
IDCJAC0016,014618,2020,12,13,16.9
IDCJAC0016,014618,2020,12,14,21.6
IDCJAC0016,014618,2020,12,15,28.7
IDCJAC0016,014618,2020,12,16,24.9
IDCJAC0016,014618,2020,12,17,25.0
IDCJAC0016,014618,2020,12,18,15.9
IDCJAC0016,014618,2020,12,19,9.1
IDCJAC0016,014618,2020,12,20,19.2
IDCJAC0016,014618,2020,12,21,22.0
IDCJAC0016,014618,2020,12,22,19.2
IDCJAC0016,014618,2020,12,23,19.5
IDCJAC0016,014618,2020,12,24,20.1
IDCJAC0016,014618,2020,12,25,11.6
IDCJAC0016,014618,2020,12,26,28.8
IDCJAC0016,014618,2020,12,27,22.0
IDCJAC0016,014618,2020,12,28,24.3
IDCJAC0016,014618,2020,12,29,18.7
IDCJAC0016,014618,2020,12,30,22.2
IDCJAC0016,014618,2020,12,31,24.7
